Date,Zip,HomeIndex
8/31/2013,85719,169673
9/30/2013,85719,170944
10/31/2013,85719,172182
11/30/2013,85719,173096
12/31/2013,85719,174007
1/31/2014,85719,174445
2/28/2014,85719,176040
3/31/2014,85719,175926
4/30/2014,85719,175630
5/31/2014,85719,175084
6/30/2014,85719,175372
7/31/2014,85719,175842
8/31/2014,85719,176292
9/30/2014,85719,176859
10/31/2014,85719,176733
11/30/2014,85719,176709
12/31/2014,85719,176217
1/31/2015,85719,176219
2/28/2015,85719,175900
3/31/2015,85719,176635
4/30/2015,85719,176969
5/31/2015,85719,177223
6/30/2015,85719,177387
7/31/2015,85719,176849
8/31/2015,85719,176257
9/30/2015,85719,175776
10/31/2015,85719,176137
11/30/2015,85719,176550
12/31/2015,85719,177600
1/31/2016,85719,179210
2/29/2016,85719,181124
3/31/2016,85719,182553
4/30/2016,85719,183678
5/31/2016,85719,184427
6/30/2016,85719,184216
7/31/2016,85719,184634
8/31/2016,85719,185317
9/30/2016,85719,186097
10/31/2016,85719,186678
11/30/2016,85719,187922
12/31/2016,85719,189342
1/31/2017,85719,191120
2/28/2017,85719,192515
3/31/2017,85719,194293
4/30/2017,85719,194545
5/31/2017,85719,194864
6/30/2017,85719,195605
7/31/2017,85719,196836
8/31/2017,85719,198264
9/30/2017,85719,199269
10/31/2017,85719,199994
11/30/2017,85719,200988
12/31/2017,85719,202291
1/31/2018,85719,203610
2/28/2018,85719,204701
3/31/2018,85719,205653
4/30/2018,85719,207371
5/31/2018,85719,208724
6/30/2018,85719,210002
7/31/2018,85719,211117
8/31/2018,85719,211806
9/30/2018,85719,213281
10/31/2018,85719,214389
11/30/2018,85719,216211
12/31/2018,85719,216777
1/31/2019,85719,218522
2/28/2019,85719,220190
3/31/2019,85719,220872
4/30/2019,85719,221402
5/31/2019,85719,221691
6/30/2019,85719,223537
7/31/2019,85719,224338
8/31/2019,85719,225070
9/30/2019,85719,225516
10/31/2019,85719,226632
11/30/2019,85719,228649
12/31/2019,85719,231772
1/31/2020,85719,233471
2/29/2020,85719,234486
3/31/2020,85719,234830
4/30/2020,85719,235765
5/31/2020,85719,236547
6/30/2020,85719,237531
7/31/2020,85719,239950
8/31/2020,85719,243086
9/30/2020,85719,246464
10/31/2020,85719,249190
11/30/2020,85719,255538
12/31/2020,85719,262779
1/31/2021,85719,271539
2/28/2021,85719,276645
3/31/2021,85719,280296
4/30/2021,85719,283911
